Producto_ID,NombreProducto
0,NO IDENTIFICADO 0
9,Capuccino Moka 750g NES 9
41,Bimbollos Ext sAjonjoli 6p 480g BIM 41
53,Burritos Sincro 170g CU LON 53
72,Div Tira Mini Doradita 4p 45g TR 72
73,Pan Multigrano Linaza 540g BIM 73
98,Tostado Integral 180g WON 98
99,Pan Blanco 567g WON 99
100,Super Pan Bco Ajonjoli 680g SP WON 100
106,Wonder 100pct mediano 475g WON 106
107,Wonder 100pct gde 680g SP WON 107
108,Baguette Precocida Cong 280g DH 108
109,Pan Multicereal 475g WON 109
112,Tostado Integral 180g WON 112
122,Biscotel Receta Original 410g CU SUA 122
123,Super Bollos 5in 8p 540g WON 123
125,Bollos 8p 450g WON 125
131,Bollos BK 4in 36p 1635g SL 131
132,Bollos BK 5in 30p 1730g SL 132
134,Bollos BK 4in 30p 1635g TIR SL 134
135,Bollos BK 5in 20p 1730g TIR SL 135
141,Hot Dogs 8p 290g WON 141
145,Super Hot Dogs 8p 435g WON 145
151,Medias Noches 24p 470g BK SL 151
157,Bollo WB 5in snAjn 20p 1950g SL 157
160,Molido Bolsa 180g WON 160
161,Bollos KFC 5in 15p 1237g WON 161
162,Molido 25Kg WON 162
163,Molido 5Kg WON 163
179,Tostado Int 0pct Grasa Azucar 200g WON 179
183,Tortillas Harina 260g 10p WON 183
202,Bollos 5in 12p 976g SL 202
205,Bollos 4in 18p 1000g SL 205
214,Bollos Carls Jr 1080g SL 214
217,Hot Dog Estilo Sonora 500g BIM 217
248,Marias 170g TAB LAR 248
303,Dalmata 1p 55g MLA 303
306,Chocotorro Fresa 1p 50g MLA 306
308,Dalmata 1p 55g MLA 308
321,Tuinky Chocolate 2p 76g WON 321
322,Tuinky Fresas con Crema 2p WON 322
323,Tuinky Chocolate 3p 114g WON 323
325,Tuinky Vainilla 3p 114g WON 325
328,Tuinky Fresas Crema 3p 114g WON 328
357,Panitos Chocolate 30g WON 357
412,Canelitas Inst 30g MLA 412
523,Dalmata 1p 55g Tira MLA 523
614,Bombonete SC 55g Cj MLA 614
617,Canelitas 900g MLA 617
630,Nito ME 4p 248g BIM 630
632,Mantecadas ME 8p 250g BIM 632
634,Donitas Espolvoreadas ME 12p 210g BIM 634
635,Donas Azucar ME 8p 210g BIM 635
641,Bollo Extra Grande 15p 1200g BIM 641
665,Figatza 345g BIM 665
693,Tostada Plana 15p 175g MR 693
713,Pan Multigrano 680g ORO 713
714,7 Granos 680g ORO 714
715,Pan 100pct Integral 680g ORO 715
739,Saladas 200p 2 4Kg LAR 739
779,Pan Blanco Silueta 500g BIM 779
799,Mini Principe 45g MLA 799
815,Tostada Ondulada Reg 30p 360g MR 815
831,Gansito 10p 500g MLA 831
890,Tostada Tubo 3pq 360g MR 890
897,Tostada Ond Tubo 30p 360g Prom MR 897
915,Bolillo Congelado 80g DH 915
972,Roles Canela 6p 365g BIM 972
1031,Pan Bolsa 2a 500g BIM 1031
1039,Pan 12 Granos 680g ORO 1039
1064,Panque Marmol 255g BIM 1064
1101,Tortillinas Gde McD 500g Cn TR 1101
1109,Pan Blanco Chico 360g BIM 1109
1111,Pan Blanco 2Pq 1360g BIM 1111
1112,Super Pan Blanco 740g BIM 1112
1120,Pan Blanco 680g BIM 1120
1124,Tortillinas 10p 365g Promo 50pct TR 1124
1125,Tortillinas 10p 255g TR 1125
1126,Tortillinas Grande 10p 510g TR 1126
1129,Tortillinas 20p 510g TR 1129
1134,Tortilla Hna 22p 840g Conv DH 1134
1136,Jugos Guayaba Sonrisas 350ml VR 1136
1143,Pan Integral Gde 2pq 1360g BIM 1143
1144,Pan Integral 480g BIM 1144
1145,Pan Integral 680g BIM 1145
1146,Pan Integral 675g BIM 1146
1147,Tostada Plana 15p 230g DH 1147
1148,Tostada Plana de Maiz 20p 180g DH 1148
1150,Medias Noches 8p 340g BIM 1150
1153,Medias Noches 16p 680g BIM 1153
1156,Tortillinas 50p 1 31Kg TR 1156
1160,Bimbollos 8p 450g BIM 1160
1164,Bimbollos 12p 675g BIM 1164
1166,Bollo Regular 2pq 30p McD BIM 1166
1167,Bollos Quarter Pounder McD 30p 1700g BIM 1167
1168,Bollo Big Mac 30p 1200g McD BIM 1168
1169,Bimbollos Extra 6p 480g BIM 1169
1178,Chino Congelado 72g Cj DH 1178
1180,Tostado 210g BIM 1180
1182,Tostado 210g CU BIM 1182
1185,Molido 210g BIM 1185
1187,Molido 5Kg BIM 1187
1198,Tostado 2pq 420g BIM 1198
1212,Roles Canela 2p 120g BIM 1212
1216,Roles Glass 2p 135g BIM 1216
1220,Colchones 6p 130g BIM 1220
1230,Panque Pasas 255g BIM 1230
1232,Panque Nuez 255g BIM 1232
1233,Tostado Doble Fibra 250g BIM 1233
1238,Panquecito Gota Choc 2p 140g BIM 1238
1240,Mantecadas Vainilla 4p 125g BIM 1240
1242,Donitas Espolvoreadas 6p 105g BIM 1242
1250,Donas Azucar 4p 105g BIM 1250
1272,Conchas Chocolate 2p 120g BIM 1272
1277,Nito Edicion Especial 62g BIM 1277
1278,Nito 1p 62g BIM 1278
1284,Rebanada 2p 55g BIM 1284
1289,Donas 6P Prom BIM 1289
